Id,ID mess,Date,Year,Season,Mound ID,Site,Mound,Depth,Species,Tot num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Weight,treatment,time,size
2010SummerClam Shoal32Deep,2010SummerClam Shoal32DeepAtlanticOysterDrill,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Deep,AtlanticOysterDrill,2,15.2,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673,Old,,
2010SummerClam Shoal32Deep,2010SummerClam Shoal32DeepE.Depressus,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Deep,E.Depressus,4,15.1,8.9,10.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.262,Old,,
2010SummerClam Shoal32Deep,2010SummerClam Shoal32DeepP.Herbstii,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Deep,P.Herbstii,2,23.2,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.587,Old,,
2010SummerClam Shoal32Shallow,2010SummerClam Shoal32ShallowAtlanticOysterDrill,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Shallow,AtlanticOysterDrill,11,13.2,12.9,13.9,14.4,15.6,18.4,23.7,16,14.4,17.2,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,Old,,
2010SummerClam Shoal32Shallow,2010SummerClam Shoal32ShallowE.Depressus,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Shallow,E.Depressus,14,17.1,9.5,10.7,12.8,10.3,14.5,11.7,9.6,13.7,17.7,8.1,4.5,9.7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.947,Old,,
2010SummerClam Shoal32Shallow,2010SummerClam Shoal32ShallowFreckledblenny,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Shallow,Freckledblenny,2,49.6,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.611,Old,,
2010SummerClam Shoal32Shallow,2010SummerClam Shoal32ShallowNakedGoby,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Shallow,NakedGoby,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,Old,,
2010SummerClam Shoal32Shallow,2010SummerClam Shoal32ShallowP.Herbstii,7/1/2010,2010,Summer,Clam Shoal 32,Clam Shoal,32,Shallow,P.Herbstii,2,13,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.463,Old,,
2010SummerClam Shoal33Deep,2010SummerClam Shoal33DeepAtlanticOysterDrill,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Deep,AtlanticOysterDrill,1,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564,Old,,
2010SummerClam Shoal33Deep,2010SummerClam Shoal33DeepE.Depressus,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Deep,E.Depressus,4,10.3,9.7,6.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903,Old,,
2010SummerClam Shoal33Deep,2010SummerClam Shoal33DeepP.Herbstii,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Deep,P.Herbstii,6,31.4,21.3,19.9,17.7,15.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31,Old,,
2010SummerClam Shoal33Shallow,2010SummerClam Shoal33ShallowAtlanticOysterDrill,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Shallow,AtlanticOysterDrill,1,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,Old,,
2010SummerClam Shoal33Shallow,2010SummerClam Shoal33ShallowE.Depressus,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Shallow,E.Depressus,11,10.8,8.3,5,9.7,5.5,8.5,16.2,10.4,14.1,12.2,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.502,Old,,
2010SummerClam Shoal33Shallow,2010SummerClam Shoal33ShallowNakedGoby,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Shallow,NakedGoby,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,Old,,
2010SummerClam Shoal33Shallow,2010SummerClam Shoal33ShallowP.Herbstii,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Shallow,P.Herbstii,1,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.598,Old,,
2010SummerClam Shoal33Shallow,2010SummerClam Shoal33ShallowStripedBlenny,7/1/2010,2010,Summer,Clam Shoal 33,Clam Shoal,33,Shallow,StripedBlenny,1,51.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.115,Old,,
2010SummerClam Shoal211Deep,2010SummerClam Shoal211DeepE.Depressus,7/1/2010,2010,Summer,Clam Shoal 211,Clam Shoal,211,Deep,E.Depressus,1,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,Early shell,Early,
2010SummerClam Shoal211Shallow,2010SummerClam Shoal211ShallowE.Depressus,7/1/2010,2010,Summer,Clam Shoal 211,Clam Shoal,211,Shallow,E.Depressus,2,13.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early shell,Early,
2010SummerClam Shoal213Deep,2010SummerClam Shoal213DeepCrestedBlenny,7/1/2010,2010,Summer,Clam Shoal 213,Clam Shoal,213,Deep,CrestedBlenny,1,101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.718,Early small,Early,Small
