ID,Site ,Gear,Season,Date ,Year,rep,Species,T. Length ,Weight,S. Length (cm),Stomach,Comments
11,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,295,461,,Y,
12,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,225,256,,Y,
13,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,240,249,,Y,
14,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,214,210,,Y,
15,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,205,177,,Y,
16,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,176,115,,Y,
17,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,195,149,,Y,
18,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,212,192,,Y,
19,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,195,160,,Y,
20,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,200,188,,Y,
21,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,191,164,,Y,
22,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,205,161,,Y,
23,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,200,163,,Y,
24,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,191,142,,Y,
25,Ocracoke,Net,Fall,10/21/2009,2009,3,Sheepshead,202,172,,Y,
1000,Crab Hole,Net,Late Summer,8/24/2009,2009,3,Spanish mackeral,250,95.3,,N,
1001,Crab Hole,Net,Late Summer,8/24/2009,2009,3,Harvestfish,120,41.1,,N,
1002,Crab Hole,Net,Late Summer,8/24/2009,2009,3,Spadefish,168,150,,Y,
1003,Crab Hole,Net,Late Summer,8/24/2009,2009,3,Croaker,115,129,,N,
1004,Crab Hole,Net,Late Summer,8/24/2009,2009,3,Southern flounder,255,176.2,,Y,
1005,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Spanish mackeral,249,91.8,,N,
1006,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Spanish mackeral,233,78,,N,
1007,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Spanish mackeral,267,101.6,,N,
1008,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Speckled trout,306,229.6,,Y,
1009,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Stripped anchovy,100,6.9,,N,
1010,Crab Hole,Net,Late Summer,8/24/2009,2009,1,pinfish,169,79,,Y,
1011,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,188,60.4,,Y,head partially eaten
1012,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,199,77.1,,Y,
1013,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,191,79.1,,Y,
1014,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,191,80.2,,Y,
1015,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,190,71.7,,Y,
1016,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,210,121.3,,Y,
1017,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,204,98.4,,Y,
1018,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Croaker,208,104.2,,N,
1019,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Bluefish,262,195.5,,Y,
1020,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Threadfin herring,91,6.5,,N,
1021,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Threadfin herring,96,8.5,,N,
1022,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Southern flounder,397,784.3,,Y,
1023,Crab Hole,Net,Late Summer,8/24/2009,2009,1,Summer flounder,202,83.9,,Y,
1027,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Sheepshead,426,1498.2,,Y,
1028,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Spot,225,151.3,,Y,
1029,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Croaker,224,131.8,,Y,
1030,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,96,9.8,,N,
1031,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Summer flounder,293,264.3,,Y,
1032,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Southern flounder,428,996.5,,Y,
1033,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Harvestfish,168,110.5,,N,
1034,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Spanish mackeral,249,89.3,,N,
1035,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,90,5.6,,N,head partially eaten
1037,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,236,117.5,,N,
1038,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,166,44.7,,N,
1039,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,20005,76.7,,N,
1040,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,198,74.1,,N,
1041,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,181,56.2,,N,
1042,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,198,75.1,,N,
1043,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,222,102.4,,N,
1044,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,210,89.3,,N,
1045,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,195,72.8,,N,
1046,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Threadfin herring,199,68.3,,N,
1047,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Pinfish,157,55.6,,Y,
1048,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Spot,178,70.1,,Y,
1049,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Pinfish,157,57.8,,Y,
1050,Crab Hole,Net,Late Summer,8/24/2009,2009,2,Pinfish,137,32.5,,Y,
