species,mm,g,claws,Size
Panopeus herbstii,41.1,20.8,2,large
Panopeus herbstii,15.4,2.17,2,Medium
Panopeus herbstii,19.7,2.78,2,Medium
Panopeus herbstii,13,1.4,2,Small
Panopeus herbstii,15.4,0.94,1,Medium
Eurypanopeus depressus,21.9,3.81,1,Medium
Panopeus herbstii,40.8,25.184,2,large
Panopeus herbstii,29.9,10.235,2,large
Panopeus herbstii,26.5,8.263,2,large
Panopeus herbstii,22.4,3.781,2,Medium
Panopeus herbstii,25.1,5.372,2,large
Panopeus herbstii,24.6,5.7,2,Medium
Panopeus herbstii,27.5,7.99,2,large
Panopeus herbstii,22.3,3.81,2,Medium
Panopeus herbstii,31.1,11.5,2,large
Panopeus herbstii,14.9,1.52,2,Small
Panopeus herbstii,21.7,4.49,2,Medium
Panopeus herbstii,27.9,7.7,2,large
Panopeus herbstii,31.2,10.54,2,large
Panopeus herbstii,21.5,3.84,2,Medium
Panopeus herbstii,28.7,8.23,2,large
Panopeus herbstii,23.8,5.01,2,Medium
Panopeus herbstii,14.2,0.936,2,Small
Panopeus herbstii,24.1,5.2,2,Medium
Panopeus herbstii,23.6,3.92,1,Medium
Panopeus herbstii,13.9,0.99,2,Small
Panopeus herbstii,20.8,3.54,2,Medium
Panopeus herbstii,28.9,8.82,2,large
Panopeus herbstii,19.5,2.49,2,Medium
Panopeus herbstii,25,7.5,2,large
Panopeus herbstii,27.6,8.23,2,large
Panopeus herbstii,28.9,9.54,2,large
Panopeus herbstii,15.1,1.27,2,Medium
Panopeus herbstii,20.4,3.1,2,Medium
Panopeus herbstii,31.2,9.8,1,large
Panopeus herbstii,20.5,3.14,2,Medium
Panopeus herbstii,9.6,0.38,2,Small
Panopeus herbstii,14.13,0.92,1,Small
Panopeus herbstii,27.5,4.45,1,large
Panopeus herbstii,13.2,0.86,2,Small
Panopeus herbstii,15.7,1.45,2,Medium
Panopeus herbstii,19.2,1.32,2,Medium
Panopeus herbstii,19.8,3.42,2,Medium
Panopeus herbstii,20.1,2.95,2,Medium
Panopeus herbstii,35.5,18.86,2,large
Panopeus herbstii,30.2,8.35,2,large
Panopeus herbstii,12.1,0.82,2,Small
Panopeus herbstii,21.1,2.4,1,Medium
Panopeus herbstii,21.9,4,2,Medium
Panopeus herbstii,28.5,8.82,2,large
Panopeus herbstii,22.5,4.13,2,Medium
Panopeus herbstii,15.8,1.36,2,Medium
Panopeus herbstii,27.8,8.04,2,large
Panopeus herbstii,18.7,2.17,1,Medium
Panopeus herbstii,30.1,10.6,2,large
Panopeus herbstii,21.8,3.33,2,Medium
Panopeus herbstii,18.1,1.45,1,Medium
Panopeus herbstii,20.4,3.26,2,Medium
Panopeus herbstii,19.5,2.33,2,Medium
Panopeus herbstii,14.4,1.04,2,Small
Panopeus herbstii,21.6,3.4,2,Medium
Eurypanopeus depressus,12.1,0.51,2,Small
Panopeus herbstii,31.6,11.6,2,large
Panopeus herbstii,49.1,33.5,1,large
Panopeus herbstii,25.5,5.37,2,large
Panopeus herbstii,18.5,2.32,2,Medium
Panopeus herbstii,22.9,3.92,2,Medium
Panopeus herbstii,27.5,7.71,2,large
Panopeus herbstii,31.7,11.2,2,large
Panopeus herbstii,30.5,10.4,2,large
Panopeus herbstii,21,3.52,2,Medium
Panopeus herbstii,31.4,9.4,2,large
Panopeus herbstii,11,0.55,2,Small
Panopeus herbstii,29.1,10.15,2,large
Panopeus herbstii,16.5,1.42,1,Medium
Panopeus herbstii,27.6,6.9,2,large
Panopeus herbstii,7.1,0.35,2,Small
Panopeus herbstii,25.8,6.151,2,large
Panopeus herbstii,12.5,0.73,2,Small
Panopeus herbstii,22.4,4.11,2,Medium
Panopeus herbstii,16.9,1.58,1,Medium
Panopeus herbstii,13.4,0.84,1,Small
Eurypanopeus depressus,17.9,2.01,2,Medium
Panopeus herbstii,19.5,2.96,2,Medium
Panopeus herbstii,17,1.84,2,Medium
Panopeus herbstii,17.8,2.76,2,Medium
Panopeus herbstii,16.4,1.78,2,Medium
Panopeus herbstii,26.8,8.1,2,large
Panopeus herbstii,12.2,0.814,2,Small
Panopeus herbstii,33.6,11.92,1,large
Panopeus herbstii,19.9,2.6,2,Medium
Panopeus herbstii,17,2,2,Medium
Panopeus herbstii,20.9,3.34,2,Medium
Panopeus herbstii,18.9,1.79,2,Medium
Panopeus herbstii,16.8,1.93,2,Medium
Panopeus herbstii,27.7,22.12,2,large
Panopeus herbstii,10.8,0.5,2,Small
Panopeus herbstii,15.2,1.39,2,Medium
Panopeus herbstii,16.9,1.6,1,Medium
Panopeus herbstii,22.7,4.73,2,Medium
Panopeus herbstii,22.3,4.32,2,Medium
,15.6,1.22,1,Medium
Panopeus herbstii,22,4.24,2,Medium
Panopeus herbstii,18.1,2.24,2,Medium
,15.5,0.76,1,Medium
Panopeus herbstii,14.6,1.14,2,Small
,10.3,0.4,1,Small
Panopeus herbstii,21.4,3.88,2,Medium
,12.9,0.81,1,Small
Panopeus herbstii,16.4,1.66,2,Medium
Panopeus herbstii,16.3,1.59,2,Medium
Panopeus herbstii,19.8,3.5,2,Medium
Panopeus herbstii,22.2,4.37,2,Medium
Panopeus herbstii,19.5,3.16,2,Medium
,13.2,0.6,1,Small
Panopeus herbstii,12.9,1.03,2,Small
Panopeus herbstii,23.9,4.93,2,Medium
Panopeus herbstii,19.2,2.77,2,Medium
Panopeus herbstii,16.2,1.88,2,Medium
Panopeus herbstii,12.8,0.81,2,Small
Panopeus herbstii,17.8,2.48,2,Medium
Panopeus herbstii,12.1,0.68,2,Small
Panopeus herbstii,20.8,3.48,2,Medium
Panopeus herbstii,13.4,1.07,2,Small
Panopeus herbstii,15.2,1.32,2,Medium
Panopeus herbstii,26.4,5.19,1,large
Panopeus herbstii,13.2,0.84,2,Small
Panopeus herbstii,13.1,0.53,2,Small
Panopeus herbstii,10.2,0.39,2,Small
Panopeus herbstii,13.2,0.83,2,Small
Panopeus herbstii,12.1,0.75,2,Small
Panopeus herbstii,11.9,0.62,2,Small
Panopeus herbstii,15.3,1.34,2,Medium
Panopeus herbstii,9.8,0.4,2,Small
Panopeus herbstii,12.2,0.73,2,Small
Panopeus herbstii,11.4,0.57,2,Small
Panopeus herbstii,12.7,0.82,2,Small
Panopeus herbstii,16,1.17,2,Medium
Eurypanopeus depressus,11.11,0.41,2,Small
Panopeus herbstii,15.5,1.36,2,Medium
Panopeus herbstii,12.4,0.74,2,Small
Panopeus herbstii,16.8,1.78,2,Medium
,13.4,0.65,1,Small
Panopeus herbstii,12.1,0.66,2,Small
Panopeus herbstii,31.8,11.72,2,large
Panopeus herbstii,31.9,9.66,1,large
Panopeus herbstii,24.9,5.14,1,Medium
Eurypanopeus depressus,17.1,2.14,2,Medium
Panopeus herbstii,13.7,1.07,2,Small
Eurypanopeus depressus,16.8,1.3,2,Medium
Panopeus herbstii,15.5,1.3,2,Medium
Panopeus herbstii,13.4,1,2,Small
Panopeus herbstii,21.8,4.15,2,Medium
Panopeus herbstii,11.4,0.61,2,Small
Panopeus herbstii,11.9,0.81,2,Small
Panopeus herbstii,16.6,1.91,2,Medium
Eurypanopeus depressus,18.6,2.35,2,Medium
Panopeus herbstii,12,0.75,2,Small
Panopeus herbstii,17.5,1.88,2,Medium
Eurypanopeus depressus,16,1.08,2,Medium
Panopeus herbstii,16.5,1.01,2,Medium
Panopeus herbstii,10.8,0.34,2,Small
Panopeus herbstii,15.4,1.16,2,Medium
Panopeus herbstii,14,0.83,2,Small
Panopeus herbstii,13.6,1.23,2,Small
Panopeus herbstii,12.7,0.85,2,Small
Panopeus herbstii,12.1,0.61,2,Small
Panopeus herbstii,12.8,0.67,1,Small
Panopeus herbstii,10.9,0.39,2,Small
Panopeus herbstii,11.4,0.38,2,Small
Panopeus herbstii,10.5,0.46,2,Small
Panopeus herbstii,31.2,12.13,2,large
Panopeus herbstii,35.1,19.89,2,large
Panopeus herbstii,29.2,8.7,2,large
Panopeus herbstii,13.8,1.17,2,Small
Panopeus herbstii,26.6,6.71,2,large
Eurypanopeus depressus,15.5,1.39,2,Medium
Panopeus herbstii,24,4.97,2,Medium
Panopeus herbstii,32.4,13.93,2,large
Panopeus herbstii,25.9,4.83,1,large
Panopeus herbstii,15.3,1.87,2,Medium
Eurypanopeus depressus,8.9,0.36,2,Small
Panopeus herbstii,29.7,8.51,2,large
Panopeus herbstii,13.3,0.87,2,Small
Panopeus herbstii,24.5,5.89,2,Medium
Panopeus herbstii,22.3,4.56,2,Medium
Panopeus herbstii,23.8,5.64,2,Medium
Panopeus herbstii,28,9.3,2,large
