"","Mound_ID","Shell_ID","Cage_ID","Cage_type","Mound_Num","Site","Sample_dat","Num_spat","Length_1","Length_2","Length_3","Length_4","Length_5","Total_m","meas30","meas25","meas20","percentless30","Num_spat_30","percentless25","Num_spat_25","percentless20","Num_spat_20","Mound_Treat","Deployment","treatbi","treattri","Sample_dat_num","salc","saln","curc","curn","logNum_spat","Obs"
"1","ClamShoal208",131199,"13119","Small Mesh",208,"Clam Shoal","Fall_2011",2,75.8,67,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,1.09861228866811,1
"2","ClamShoal208",899234,"89923","Open",208,"Clam Shoal","Spring_2011",5,41.1,50.6,36.2,43.5,46.9,5,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.79175946922805,2
"3","ClamShoal208",829429,"82942","Large Mesh",208,"Clam Shoal","Fall_2010",3,24.5,32.1,56.6,NA,NA,3,1,1,0,0.333333333333333,1,0.333333333333333,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.38629436111989,3
"6","ClamShoal208",899239,"89923","Open",208,"Clam Shoal","Spring_2011",2,45.8,39.6,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.09861228866811,4
"7","ClamShoal208",829421,"82942","Large Mesh",208,"Clam Shoal","Fall_2010",2,30.8,24.6,NA,NA,NA,2,1,1,0,0.5,1,0.5,1,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.09861228866811,5
"12","ClamShoal208",829424,"82942","Large Mesh",208,"Clam Shoal","Fall_2010",7,31.1,32.5,34.5,24.6,20.7,5,2,2,0,0.4,2.8,0.4,3,0,0,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,2.07944154167984,6
"15","ClamShoal208",131192,"13119","Small Mesh",208,"Clam Shoal","Spring_2011",4,23.9,16.3,58.7,26.1,NA,4,3,2,1,0.75,3,0.5,2,0.25,1,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.6094379124341,7
"16","ClamShoal208",131197,"13119","Small Mesh",208,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0,8
"17","ClamShoal208",899232,"89923","Open",208,"Clam Shoal","Fall_2010",5,31.2,31.1,26.6,27.2,7.9,5,3,1,1,0.6,3,0.2,1,0.2,1,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.79175946922805,9
"19","ClamShoal208",955869,"95586","Roof",208,"Clam Shoal","Fall_2011",1,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Small","Late","New","Late dep",4,"High",21.16,"High",8.87,0.693147180559945,10
"20","ClamShoal208",899232,"89923","Open",208,"Clam Shoal","Spring_2011",4,49.7,56.1,52.2,43.8,NA,4,0,0,0,0,0,0,0,0,0,"Late Small","Late","New","Late dep",3,"High",21.16,"High",8.87,1.6094379124341,11
"21","ClamShoal208",655759,"65575","Control",208,"Clam Shoal","Fall_2010",5,38.6,33.1,44.7,14.6,13.9,5,2,2,2,0.4,2,0.4,2,0.4,2,"Late Small","Late","New","Late dep",2,"High",21.16,"High",8.87,1.79175946922805,12
