Date,Year,Site,Mound,level,rep,total,mud,stone,blue crab,Toadfish,Starfish
16-08-09,2009,Middle Bay,,,1,0,0,0,0,0,0
16-08-09,2009,Middle Bay,,,2,0,0,0,0,0,0
16-08-09,2009,Middle Bay,,,3,2,0,0,0,0,0
17-08-09,2009,West Bay,,,1,1,0,1,0,0,0
17-08-09,2009,West Bay,,,2,0,0,0,0,0,0
17-08-09,2009,West Bay,,,3,1,0,1,0,0,0
18-08-09,2009,South River,,,1,0,0,0,0,0,0
18-08-09,2009,South River,,,2,0,0,0,0,0,0
18-08-09,2009,South River,,,3,0,0,0,0,0,0
18-08-09,2009,South River,,,4,0,0,0,0,0,0
18-08-09,2009,South River,,,5,1,0,1,0,0,0
18-08-09,2009,South River,,,6,1,0,1,0,0,0
27-07-10,2010,Crab Hole,33,Top,1,0,0,0,0,0,0
27-07-10,2010,Crab Hole,33,Top,2,0,0,0,0,0,0
27-07-10,2010,Crab Hole,33,Top,3,0,0,0,0,0,0
27-07-10,2010,Crab Hole,33,Bottom,1,0,0,0,0,0,0
27-07-10,2010,Crab Hole,33,Bottom,2,0,0,0,0,0,0
27-07-10,2010,Crab Hole,33,Bottom,3,0,0,0,0,0,0
27-07-10,2010,Crab Hole,32,Top,1,0,0,0,0,0,0
27-07-10,2010,Crab Hole,32,Top,2,0,0,0,0,0,0
27-07-10,2010,Crab Hole,32,Top,3,0,0,0,0,0,0
27-07-10,2010,Crab Hole,32,Bottom,1,0,0,0,0,0,0
27-07-10,2010,Crab Hole,32,Bottom,2,0,0,0,0,0,0
27-07-10,2010,Crab Hole,32,Bottom,3,0,0,0,0,0,0
02-06-10,2010,South River,1,Bottom,1,0,0,0,0,0,0
02-06-10,2010,South River,1,Bottom,2,0,0,0,0,0,0
02-06-10,2010,South River,1,Bottom,3,0,0,0,0,0,0
02-06-10,2010,South River,1,Top,1,0,0,0,0,0,0
02-06-10,2010,South River,1,Top,2,0,0,0,0,0,0
02-06-10,2010,South River,1,Top,3,0,0,0,0,0,0
02-06-10,2010,South River,2,Bottom,1,0,0,0,0,0,0
02-06-10,2010,South River,2,Bottom,2,0,0,0,0,0,0
02-06-10,2010,South River,2,Bottom,3,0,0,0,0,0,0
02-06-10,2010,South River,2,Top,1,0,0,0,0,0,0
02-06-10,2010,South River,2,Top,2,0,0,0,0,0,0
02-06-10,2010,South River,2,Top,3,0,0,0,0,0,0
02-06-10,2010,South River,3,Bottom,1,0,0,0,0,0,0
02-06-10,2010,South River,3,Bottom,2,0,0,0,0,0,0
02-06-10,2010,South River,3,Bottom,3,0,0,0,0,0,0
02-06-10,2010,South River,3,Top,1,0,0,0,0,0,0
02-06-10,2010,South River,3,Top,2,0,0,0,0,0,0
02-06-10,2010,South River,3,Top,3,0,0,0,0,0,0
27-05-10,2010,Crab Hole,31,Bottom,1,0,0,0,0,0,0
27-05-10,2010,Crab Hole,31,Bottom,2,0,0,0,0,0,0
27-05-10,2010,Crab Hole,31,Bottom,3,0,0,0,0,0,0
27-05-10,2010,Crab Hole,31,Top,1,0,0,0,0,0,0
27-05-10,2010,Crab Hole,31,Top,2,0,0,0,0,0,0
27-05-10,2010,Crab Hole,31,Top,3,0,0,0,0,0,0
27-05-10,2010,Crab Hole,33,Bottom,1,0,0,0,0,0,0
27-05-10,2010,Crab Hole,33,Bottom,2,0,0,0,0,0,0
27-05-10,2010,Crab Hole,33,Bottom,3,0,0,0,0,0,0
27-05-10,2010,Crab Hole,33,Top,1,0,0,0,0,0,0
27-05-10,2010,Crab Hole,33,Top,2,0,0,0,0,0,0
27-05-10,2010,Crab Hole,33,Top,3,0,0,0,0,0,0
27-05-10,2010,Crab Hole,32,Bottom,1,1,0,0,0,1,0
27-05-10,2010,Crab Hole,32,Bottom,2,0,0,0,0,0,0
27-05-10,2010,Crab Hole,32,Bottom,3,0,0,0,0,0,0
27-05-10,2010,Crab Hole,32,Top,1,0,0,0,0,0,0
27-05-10,2010,Crab Hole,32,Top,2,0,0,0,0,0,0
27-05-10,2010,Crab Hole,32,Top,3,0,0,0,0,0,0
04-06-10,2010,Middle Bay,1,Bottom,1,0,0,0,0,0,0
04-06-10,2010,Middle Bay,1,Bottom,2,0,0,0,0,0,0
04-06-10,2010,Middle Bay,1,Bottom,3,0,0,0,0,0,0
04-06-10,2010,Middle Bay,1,Top,1,0,0,0,0,0,0
04-06-10,2010,Middle Bay,1,Top,2,0,0,0,0,0,0
04-06-10,2010,Middle Bay,1,Top,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,26,Top,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,26,Top,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,26,Top,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,26,Bottom,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,26,Bottom,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,26,Bottom,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,32,Top,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,32,Top,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,32,Top,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,32,Bottom,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,32,Bottom,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,32,Bottom,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,20,Top,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,20,Top,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,20,Top,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,20,Bottom,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,20,Bottom,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,20,Bottom,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,61,Top,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,61,Top,2,1,0,0,0,0,1
08-06-10,2010,Ocracoke,61,Top,3,0,0,0,0,0,0
08-06-10,2010,Ocracoke,61,Bottom,1,0,0,0,0,0,0
08-06-10,2010,Ocracoke,61,Bottom,2,0,0,0,0,0,0
08-06-10,2010,Ocracoke,61,Bottom,3,0,0,0,0,0,0
16-06-10,2010,Clam Shoal,32,Top,1,0,0,0,0,0,0
16-06-10,2010,Clam Shoal,32,Top,2,0,0,0,0,0,0
16-06-10,2010,Clam Shoal,32,Top,3,0,0,0,0,0,0
