Date,Year,Yearrep,Site,Mound,Replicate,Totalabund ,Sheepshead,Black_seabass,Bluefish,Pinfish,Pigfish,Spade,gag, Butterfly,Spottail_pinfish,Visibility ,SH size 1,SH size 2,SH size 3,BSB size,Gag size,pinfish size,Comments
07-01-09,2009,1,West Bay,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,
07-01-09,2009,1,West Bay,1,2,2,2,0,0,0,0,0,0,0,0,,,,,,,,
07-01-09,2009,1,West Bay,1,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
07-02-09,2009,1,Middle Bay ,1,1,2,2,0,0,0,0,0,0,0,0,,,,,,,,
07-02-09,2009,1,Middle Bay ,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
07-02-09,2009,1,Middle Bay ,1,3,2,2,0,0,0,0,0,0,0,0,,,,,,,,
7/15/2009,2009,1,Ocracoke,,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/15/2009,2009,1,Ocracoke,,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/15/2009,2009,1,Ocracoke,,3,1,1,0,0,0,0,0,0,0,0,,,,,,,,
07-07-09,2009,1,Crab Hole,32,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
07-07-09,2009,1,Crab Hole,32,2,1,0,0,1,0,0,0,0,0,0,,,,,,,,
07-07-09,2009,1,Crab Hole,32,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/16/2009,2009,1,South River,,1,7,2,0,0,5,0,0,0,0,0,,,,,,,,
7/16/2009,2009,1,South River,,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7/16/2009,2009,1,South River,,1,9,8,0,0,1,0,0,0,0,0,,,,,,,,
7/16/2009,2009,1,South River,,2,8,6,0,0,2,0,0,0,0,0,,,,,,,,
7/14/2009,2009,1,West Bluff,,1,5,4,0,0,1,0,0,0,0,0,,,,,,,,
7/14/2009,2009,1,West Bluff,,1,3,2,0,0,1,0,0,0,0,0,,,,,,,,
8/18/2009,2009,2,West Bay,,,0,0,0,0,0,0,0,0,0,0,1.5 m,,,,,,,
8/18/2009,2009,2,West Bay,,1,5,3,0,0,0,0,2,0,0,0,,,,,,,,
8/18/2009,2009,2,West Bay,,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8/18/2009,2009,2,West Bay,,3,2,2,0,0,0,0,0,0,0,0,,,,,,,,
8/17/2009,2009,2,Middle Bay ,,4,2,0,0,0,0,0,2,0,0,0,,,,,,,,
8/17/2009,2009,2,Middle Bay ,,1,0,0,0,0,0,0,0,0,0,0,stopped- no visibility,,,,,,,
